"ensembl","LFC_Oncogene","LFC_Replicative","LFC_DNAdamage","adj_p_Oncogene","adj_p_Replicative","adj_p_DNAdamage","sig_types","symbol","entrez","source","senescence_effect","organism"
"ENSG00000000460",-1.07462274586181,-0.550627834124002,-1.06965164514116,1.03787662581777e-07,0.00127096933044572,2.40286965527286e-07,"Oncogene/DNA-damage","C1orf112","55732","RNAseq","Unknown","Human"
"ENSG00000000971",-2.22294720364427,1.54082115640619,0.652999718500375,0.00053473602239793,0.0110029045319717,0.285563515835979,"Oncogene/Replicative","CFH","3075","InnateDB/RNAseq","Unknown","Human"
"ENSG00000001460",-1.06046388876828,0.945390432750203,-0.170843427255913,0.000242578539444925,0.000797096570037599,0.540790566802337,"Oncogene","STPG1","90529","RNAseq","Unknown","Human"
"ENSG00000001461",-1.65226356039477,1.34686523510753,0.10676320771492,1.64639935441948e-05,0.000250710344574282,0.776645498847764,"Oncogene/Replicative","NIPAL3","57185","RNAseq","Unknown","Human"
"ENSG00000002745",-1.85099071217191,4.33224827189431,1.20336917191066,0.0328518174001014,4.23416159489963e-05,0.165326160331254,"Oncogene/Replicative","WNT16","51384","CellAge/CSgene/RNAseq","Induces","Human"
"ENSG00000003096",-2.91605800076224,-0.0286128249556307,-0.305379992609944,3.99639923697533e-07,0.954640116086264,0.510696089401177,"Oncogene","KLHL13","90293","RNAseq","Unknown","Human"
"ENSG00000003137",4.48165797280229,2.76276207464295,2.75155972427885,5.23726394693695e-05,0.00512531114264622,0.00314137534046777,"Oncogene/Replicative/DNA-damage","CYP26B1","56603","RNAseq","Unknown","Human"
"ENSG00000004776",-1.51793491737712,0.0217386595467093,-0.243882710235908,0.00288979850934412,0.973459945934774,0.635818554562818,"Oncogene","HSPB6","126393","RNAseq","Unknown","Human"
"ENSG00000004777",-1.72720689997754,-0.0631056864931914,-1.19190482084586,2.91704041838338e-06,0.865680042062363,0.000212141971537594,"Oncogene/DNA-damage","ARHGAP33","115703","RNAseq","Unknown","Human"
"ENSG00000005059",-2.08798937269694,-0.75315826020548,-1.15324153327065,2.04344019991861e-10,0.000485960873518508,3.07390299166429e-06,"Oncogene/DNA-damage","MCUB","55013","RNAseq","Unknown","Human"
"ENSG00000005187",-1.67091048075767,0.499515290661609,-0.543817373511274,4.43558153278663e-05,0.166176981309398,0.137090927012463,"Oncogene","ACSM3","6296","RNAseq","Unknown","Human"
"ENSG00000005189",-2.42023796325035,0.00810684097141816,-0.776950720883563,6.09877781330569e-10,0.978872590229076,0.00357630900485941,"Oncogene","REXO5","81691","RNAseq","Unknown","Human"
"ENSG00000005238",1.19906899541323,0.289747605284069,1.02935396845647,3.32903580875019e-07,0.141733237248052,4.06121724249561e-06,"Oncogene/DNA-damage","FAM214B","80256","RNAseq","Unknown","Human"
"ENSG00000005243",-1.15562435429011,1.47559591044897,-0.380634683285765,0.00107027267766011,0.000114443532106586,0.264479132376071,"Oncogene/Replicative","COPZ2","51226","RNAseq","Unknown","Human"
