"hagrid";"gene_name";"hgncid";"entrezid";"organism";"cancer_type";"senescence_effect";"description";"notes"
"1";"ACLY";"115";"47";"Human";"No";"Inhibits";"ACLY knockdown in primary human cells triggered cellular senescence and activation of tumor suppressor p53. Provision of acetyl CoA to ACLY knockdown cells did not alleviate ACLY silencing-induced p53 activation, suggesting an independent role for ACLY activity.";"The primary HDF cells, HEK293T and HCT116 cells"
"2";"AAK1";"19679";"22848";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5, and GP293 cells"
"3";"ABI3";"29859";"51225";"Human";"Yes";"Induces";"Ectopic expression of ABI3 lowered transforming activity, reduced in vitro tumor growth properties, suppressed in vitro anchorage-independent growth and in vivo tumor formation, whilst also increasing cellular senescence. These responses were accompanied by upregulation of cell cycle inhibitor p21 and reduced ERK phosphorylation and E2F1 expression.";"A follicular thyroid carcinoma cell line (WRO) and a colon cancer-derived HT-29 cell line (ARO)"
"4";"ADCK5";"21738";"203054";"Human";"No";"Induces";"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest.";"IMR-90, MRC-5 , and GP293 cells"
"5";"AKR1B1";"381";"231";"Human";"Yes";"Inhibits";"Overexpression of aldose reductase (AKR1B1) in HaCaT cells attenuated UVB-induced cellular damage and apoptosis, with a decreased generation of reactive oxygen species (ROS) and aldehydes - RNA interference or inhibition of aldose reductase abolished these effects.";"HaCaT cells"
"6";"AGT";"333";"183";"Human";"No";"Induces";"Treatment with Ang II (AGT) of vascular smooth muscle cells significantly induced premature senescence (including increased SA-beta galactosidase activity) via the p53/p21-dependent pathway.";""
"7";"AKT1";"391";"207";"Human";"No";"Induces";"Expression of constitutively activated AKT1 in endothelial cells promoted senescence-like growth arrest with the cells displaying enlarged, flattened morphology and increased SA-beta-galactosidase activity. This senescence effect was dependent on the p53/p21 pathway.";""
"8";"ALOX15B";"434";"247";"Human";"No";"Induces";"Expression of 15-LOX2 (ALOX15B) or its splice variants drove a fraction of young normal human prostate cells to cell-cycle arrest and cell senescence.";""
"9";"AR";"644";"367";"Human";"No";"Induces";"Overexpression of the androgen receptor (AR) promoted androgen-induced premature senescence in association with p16 upregulation, whereas AR knockdown diminished the effects of androgen.";"Primary human hair follicular keratynocites"
"10";"ARPC1B";"704";"10095";"Human";"Yes";"Induces";"Overexpression of p41-Arc (ARPC1B) induced a senescent phenotype in SaOs-2 osteosarcoma cells, which are deficient in p53 and Rb tumor suppressor genes, implying that p41 can induce senescence in a p53-independent manner.";"Human tumor cell line SaOs-2"
