InnateDB Gene ID	Gene Symbol	Species	PubMED ID	Annotation
131550	Id2	10090	25902484	"Group 3 innate lymphoid cells (ILC3s) can mediate immune surveillance, which constantly maintains a proper microbiota, to facilitate early colonization resistance through an Id2-dependent regulation of Il22."
192083	Iltifb	10090	21469124	"Iltifb (Il22b) increases the TNF-alpha-dependent induction and secretion of several immune-modulatory molecules such as initial complement factors, antimicrobial peptides and chemokines in primary keratinocytes. Iltifb-mediated induction of innate immunity is crucial for the maintenance of epidermal integrity during infection with Candida albicans. (Demonstrated in human)"
192083	Iltifb	10090	21874025	"Iltifb (Il22) is produced by lymphoid tissue-inducer cells where it  regulates the maintenance of colonic lymphoid structures during Citrobacter rodentium infection, a mechanism that bridges the lymphotoxin pathway to mucosal epithelial defense mechanisms."
192083	Iltifb	10090	22921121	ILTIFB (IL22) protects intestinal stem cells from inflammatory tissue damage and regulates sensitivity to graft versus host disease. (Demonstrated in human)
192083	Iltifb	10090	25395539	Flagellin induces Tlr5-dependent Il22 production and Nlrc4-dependent Il18 production to promote a protective gene expression program in intestinal epithelial cells and elimination of rotavirus-infected cells.
192083	Iltifb	10090	25456160	Cxcl16-Cxcr6 crosstalk coordinates the intestinal topography of Il22 secretion required for mucosal defence against Citrobacter rodentium infection.
192083	Iltifb	10090	25680273	Il22 augments the expression of Il18 mRNA and inactive precursor protein (proIL-18) in intestinal epithelial cells after Toxoplasma gondii or Citrobacter rodentium infection and maintains the homeostatic amount of proIL-18 in the ileum.
192083	Iltifb	10090	26649819	"Innate lymphoid cells, potent producers of Il22 after intestinal injury, increase the growth of mouse small intestine organoids in an Il22-dependent fashion."
192083	Iltifb	10090	25902484	"Group 3 innate lymphoid cells (ILC3s) can mediate immune surveillance, which constantly maintains a proper microbiota, to facilitate early colonization resistance through an Id2-dependent regulation of Il22."
76030	PRKRA	9606	25784705	The G3BP1-CAPRIN1-PRKRA complex represents a new mode of PRKRA activation and links stress responses with innate immune activation through PRKRA without a requirement for foreign double-stranded RNA pattern recognition.
76030	PRKRA	9606	26608320	A defective interfering RNA isolated from the Hu-191 vaccine strain of measles virus is sensed by PRKRA and DDX58 to initiate an innate antiviral response.
76030	PRKRA	9606	26454002	DDX3X participates in antiviral innate immunity by controlling translation of PRKRA.
229341	DDX3X	9606	18583960	DDX3X is a critical component of the TANK-binding kinase 1 (TBK1)-dependent innate immune response.
