GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	gene_type
ENSG00000000003.15	402.174156136453	-0.0129432828467614	0.0871915387366034	-0.148446546927699	0.881990367829295	0.910560747248143	TSPAN6	protein_coding
ENSG00000000419.13	867.083899813097	-0.161767458053361	0.0779982128325123	-2.07398928999474	0.0380803055342841	0.0639298957445324	DPM1	protein_coding
ENSG00000000457.14	245.128156266566	0.0460963005712968	0.0882882597317509	0.522111328407114	0.6015928194155	0.674777743815554	SCYL3	protein_coding
ENSG00000000460.17	164.444889115221	-0.671565766599956	0.0963108072480907	-6.97290144054181	3.104701441457e-12	2.23179077270723e-11	C1orf112	protein_coding
ENSG00000001036.14	798.20370035469	0.336926390030718	0.0998674197786356	3.37373680803553	0.000741552321460021	0.00182894571326265	FUCA2	protein_coding
ENSG00000001084.13	3002.47151394098	-0.470092329634938	0.165175812444596	-2.84601191105155	0.00442705389119409	0.00937748022805928	GCLC	protein_coding
ENSG00000001167.14	667.076689326673	-0.184899199014485	0.0853670100420683	-2.16593270542529	0.0303163296639049	0.0523952536959338	NFYA	protein_coding
ENSG00000001460.18	468.586998382298	0.100569241806033	0.0808289044193969	1.24422374060905	0.213417228540682	0.286876980765307	STPG1	protein_coding
ENSG00000001461.17	1823.67751883437	-0.0438064603559072	0.0771712672601248	-0.56765246847958	0.570270972395757	0.646817170567548	NIPAL3	protein_coding
ENSG00000001497.17	836.150369996177	-0.212929733892426	0.0494671242978319	-4.30446962330815	1.67386256436554e-05	5.47326006837303e-05	LAS1L	protein_coding
ENSG00000001617.12	4593.80650635418	-0.294632646407915	0.0391680282659189	-7.52227414685264	5.38315581364679e-14	4.51488061184619e-13	SEMA3F	protein_coding
ENSG00000001629.10	1455.05153186147	0.121243239588459	0.0733606266356194	1.65270179861838	0.0983915681783159	0.146995517148174	ANKIB1	protein_coding
ENSG00000001630.17	5084.24744354258	0.152075359610681	0.0628703138309953	2.41887387455202	0.0155686372881679	0.0290723272475412	CYP51A1	protein_coding
ENSG00000001631.16	556.372311998782	-0.358475350539367	0.0596316755596237	-6.0114921671275	1.83823395473421e-09	9.96120337733943e-09	KRIT1	protein_coding
ENSG00000002016.18	94.9295237200985	-0.708857926456589	0.136684755688589	-5.18607889289125	2.14767858412473e-07	9.16644898419865e-07	RAD52	protein_coding
ENSG00000002079.14	111.592047526392	2.12591695064681	0.197913983831692	10.741620725773	6.48950107835824e-27	1.2912314466077e-25	MYH16	transcribed_unitary_pseudogene
