GeneID	Length	logFC	logCPM	F	PValue	FDR	gene_name	gene_type
ENSG00000000003.15	4536	0.19287529903034	4.37779206610135	8.63374332892412	0.00749149954574501	0.0123895943498847	TSPAN6	protein_coding
ENSG00000000419.13	1207	0.217772832365384	4.68714710034166	14.1391033955263	0.00104869930097403	0.00201347931453566	DPM1	protein_coding
ENSG00000000457.14	6883	-0.409837963680102	3.17635462712755	21.28565160336	0.000128135709923302	0.000286850393444962	SCYL3	protein_coding
ENSG00000000460.17	5970	-1.43462738302938	3.62016901383476	233.638867862251	2.27475422024162e-13	2.62136172701324e-12	C1orf112	protein_coding
ENSG00000000971.16	7980	-0.265011416957689	5.24873431095945	30.3991726579046	1.42048887227362e-05	3.72981027938998e-05	CFH	protein_coding
ENSG00000001036.14	2822	0.108037581035466	6.41840995133498	8.62506303103046	0.007517205802571	0.0124285333812682	FUCA2	protein_coding
ENSG00000001084.13	8618	0.223507484994514	4.96218633062437	18.8801091273455	0.000248602381937493	0.000529854174796602	GCLC	protein_coding
ENSG00000001167.14	3811	-0.33127398371569	5.01152353709803	34.9743030685591	5.448609066913e-06	1.53384391340268e-05	NFYA	protein_coding
ENSG00000001460.18	8511	0.460804672178619	4.2015339269483	32.3514277629207	9.34205247397066e-06	2.52944166983309e-05	STPG1	protein_coding
ENSG00000001461.17	9396	1.1415655453908	7.17556559345209	877.774021671643	1.59607456458364e-19	8.79676751234261e-18	NIPAL3	protein_coding
ENSG00000001497.17	5601	-0.494778106844803	4.58612270758438	60.0052290306536	8.62461076774907e-08	3.29749912133066e-07	LAS1L	protein_coding
ENSG00000001561.7	4644	4.55358029475436	0.995268250943239	291.661098129876	2.2695404091616e-14	3.3264096515248e-13	ENPP4	protein_coding
ENSG00000001617.12	4826	0.603960542672549	5.51223458733782	156.531170431849	1.30322635309726e-11	1.02939367295242e-10	SEMA3F	protein_coding
ENSG00000001626.16	9942	1.59317101668441	0.0404912992725521	35.0611757044045	5.35453154386075e-06	1.51031758769035e-05	CFTR	protein_coding
ENSG00000001629.10	7389	-0.00585673968884337	5.64528942019377	0.0122197254763553	0.912959091795387	0.92720224258579	ANKIB1	protein_coding
ENSG00000001630.17	3529	0.29319876407579	5.72933518797568	43.5875265214553	1.09303192307512e-06	3.47958916866008e-06	CYP51A1	protein_coding
ENSG00000001631.16	6204	-0.309050002736403	4.12687612850001	20.8353880674827	0.000144619415624373	0.000320795877450953	KRIT1	protein_coding
ENSG00000002016.18	4503	-0.175568393884818	2.16792314714486	1.90246672041862	0.181360819591526	0.225977284129535	RAD52	protein_coding
ENSG00000002330.14	1708	0.448800205643992	5.2039313748156	72.8502254717431	1.65674209415034e-08	7.2418280903229e-08	BAD	protein_coding
ENSG00000002549.12	3785	0.217475786418087	5.53158577313696	22.9163132026713	8.3574417513197e-05	0.000193441182829539	LAP3	protein_coding
ENSG00000002586.20	4858	0.280651245714147	8.02169385948045	65.3796893269699	4.19786146231701e-08	1.69794391761854e-07	CD99	protein_coding
ENSG00000002586.20_PAR_Y	4858	0.280651245714147	8.02169385948045	65.3796893269699	4.19786146231701e-08	1.69794391761854e-07	CD99	protein_coding
ENSG00000002745.13	3264	2.68609759634197	6.00173092880935	2821.13107809849	3.80989908833878e-25	1.8444211115705e-22	WNT16	protein_coding
ENSG00000002746.15	13935	0.87250330194706	1.03646008063522	21.1667495725081	0.000132279384471159	0.00029505452049547	HECW1	protein_coding
ENSG00000002822.15	7230	-0.315014592740268	4.74639005659542	24.8363396669136	5.15767803592217e-05	0.000123165979786397	MAD1L1	protein_coding
