GeneID	Length	logFC	unshrunk.logFC	logCPM	PValue	FDR	gene_name	gene_type
ENSG00000000003.15	4536	-0.0219459672958016	-0.0219528752005953	3.88865340222756	0.999915427942572	1	TSPAN6	protein_coding
ENSG00000000419.13	1207	-0.170486961711814	-0.170511459071932	4.99395744723539	0.999106691237051	1	DPM1	protein_coding
ENSG00000000457.14	6883	0.0362721216669795	0.0362904940247086	3.17869103001933	0.999850945789026	1	SCYL3	protein_coding
ENSG00000000460.17	5970	-0.680183934398782	-0.680715039033377	2.61241176824636	0.0348310230217738	0.208142520121157	C1orf112	protein_coding
ENSG00000001036.14	2822	0.327380561198486	0.32743161215828	4.87337488488897	0.937408160275313	1	FUCA2	protein_coding
ENSG00000001084.13	8618	-0.480754907065051	-0.480775059809721	6.78453714040047	0.446891535407947	1	GCLC	protein_coding
ENSG00000001167.14	3811	-0.194477094883215	-0.194513074390285	4.61600085658218	0.997785179036001	1	NFYA	protein_coding
ENSG00000001460.18	8511	0.0900954803733013	0.090119559476908	4.10748537643637	0.999739605128836	1	STPG1	protein_coding
ENSG00000001461.17	9396	-0.0527801147815689	-0.0527836890560658	6.06388003199584	0.999910767022431	1	NIPAL3	protein_coding
ENSG00000001497.17	5601	-0.222383650497101	-0.222416657142736	4.94149160221132	0.999954427528389	1	LAS1L	protein_coding
ENSG00000001617.12	4826	-0.30415290735878	-0.304161151853312	7.39634938363981	0.9996319760243	1	SEMA3F	protein_coding
ENSG00000001629.10	7389	0.112019834687038	0.112029383418572	5.73826296191316	0.99981207738819	1	ANKIB1	protein_coding
ENSG00000001630.17	3529	0.143145655102733	0.143149142981707	7.5417898054446	0.99986582917149	1	CYP51A1	protein_coding
ENSG00000001631.16	6204	-0.368090523164178	-0.368173174969492	4.35616335476893	0.991316621933295	1	KRIT1	protein_coding
ENSG00000002016.18	4503	-0.716537424904446	-0.71751202853655	1.83350070216319	0.0480859618804918	0.27450911550857	RAD52	protein_coding
ENSG00000002079.14	6307	2.11582772652072	2.11912951028952	2.03892220282231	2.6001246612106e-07	7.19367822934933e-06	MYH16	transcribed_unitary_pseudogene
ENSG00000002330.14	1708	-0.295605180283195	-0.295647614714783	4.99568276349525	0.990029936283179	1	BAD	protein_coding
ENSG00000002549.12	3785	-0.327355619661761	-0.32739626794139	5.20422051698038	0.997483940523828	1	LAP3	protein_coding
ENSG00000002586.20	4858	0.145977261667454	0.145983881524029	6.64460602752584	0.994727089681792	1	CD99	protein_coding
ENSG00000002586.20_PAR_Y	4858	0.145977261667454	0.145983881524029	6.64460602752584	0.994727089681792	1	CD99	protein_coding
ENSG00000002587.10	7435	2.85422014756516	2.85592288783034	3.76993809190377	4.85246569015454e-11	8.26359399743131e-09	HS3ST1	protein_coding
