GeneID	Length	logFC	unshrunk.logFC	logCPM	PValue	FDR	gene_name	gene_type
ENSG00000000003.15	4536	0.19287529903034	0.192920780813763	4.37779206610135	0.999792485905381	0.999999999999597	TSPAN6	protein_coding
ENSG00000000419.13	1207	0.217772832365384	0.217814026273435	4.68714710034166	0.99989039697656	0.999999999999597	DPM1	protein_coding
ENSG00000000457.14	6883	-0.409837963680102	-0.410062960213205	3.17635462712755	0.838922668811326	0.999999999999597	SCYL3	protein_coding
ENSG00000000460.17	5970	-1.43462738302938	-1.43529739021185	3.62016901383476	3.4769425741129e-10	6.98262355599786e-09	C1orf112	protein_coding
ENSG00000000971.16	7980	-0.265011416957689	-0.265045437813192	5.24873431095945	0.999935317048556	0.999999999999597	CFH	protein_coding
ENSG00000001036.14	2822	0.108037581035466	0.108043694259899	6.41840995133498	0.999999995236956	0.999999999999597	FUCA2	protein_coding
ENSG00000001084.13	8618	0.223507484994514	0.223542505362895	4.96218633062437	0.999966672529643	0.999999999999597	GCLC	protein_coding
ENSG00000001167.14	3811	-0.33127398371569	-0.331324123190969	5.01152353709803	0.997103888693444	0.999999999999597	NFYA	protein_coding
ENSG00000001460.18	8511	0.460804672178619	0.460928982367573	4.2015339269483	0.733939258859208	0.999999999999597	STPG1	protein_coding
ENSG00000001461.17	9396	1.1415655453908	1.14160804523814	7.17556559345209	2.60644166727603e-14	1.02656906854289e-12	NIPAL3	protein_coding
ENSG00000001497.17	5601	-0.494778106844803	-0.494880589694374	4.58612270758438	0.694197702248189	0.999999999999597	LAS1L	protein_coding
ENSG00000001561.7	4644	4.55358029475436	4.59655833420908	0.995268250943239	1.29852047976184e-13	4.50719855057775e-12	ENPP4	protein_coding
ENSG00000001617.12	4826	0.603960542672549	0.604026823791915	5.51223458733782	0.130233444342837	0.553500159733499	SEMA3F	protein_coding
ENSG00000001626.16	9942	1.59317101668441	1.60301659825398	0.0404912992725521	0.000109641399735423	0.000902827583215174	CFTR	protein_coding
ENSG00000001629.10	7389	-0.00585673968884337	-0.0058570789560741	5.64528942019377	0.999999981305464	0.999999999999597	ANKIB1	protein_coding
ENSG00000001630.17	3529	0.29319876407579	0.293225808173587	5.72933518797568	0.999924051483244	0.999999999999597	CYP51A1	protein_coding
ENSG00000001631.16	6204	-0.309050002736403	-0.309136665037444	4.12687612850001	0.993665610323997	0.999999999999597	KRIT1	protein_coding
ENSG00000002016.18	4503	-0.175568393884818	-0.175762412941772	2.16792314714486	0.97433182711602	0.999999999999597	RAD52	protein_coding
ENSG00000002330.14	1708	0.448800205643992	0.448860154699055	5.2039313748156	0.92671016498005	0.999999999999597	BAD	protein_coding
ENSG00000002549.12	3785	0.217475786418087	0.217498757188564	5.53158577313696	0.999994418595772	0.999999999999597	LAP3	protein_coding
ENSG00000002586.20	4858	0.280651245714147	0.280656502432579	8.02169385948045	0.999998075855263	0.999999999999597	CD99	protein_coding
ENSG00000002586.20_PAR_Y	4858	0.280651245714147	0.280656502432579	8.02169385948045	0.999998075855263	0.999999999999597	CD99	protein_coding
ENSG00000002745.13	3264	2.68609759634197	2.68643996604865	6.00173092880935	1.0305840704186e-23	6.34950207099688e-21	WNT16	protein_coding
ENSG00000002746.15	13935	0.87250330194706	0.874780929383969	1.03646008063522	0.0204145379261295	0.109950419532832	HECW1	protein_coding
ENSG00000002822.15	7230	-0.315014592740268	-0.315072136426433	4.74639005659542	0.995486303579735	0.999999999999597	MAD1L1	protein_coding
ENSG00000002834.18	7061	0.204034775433588	0.20403639166614	9.26283878156022	0.999999996831385	0.999999999999597	LASP1	protein_coding
ENSG00000002919.15	4133	0.308803881565064	0.308885798811537	4.21226703661711	0.992338261385715	0.999999999999597	SNX11	protein_coding
ENSG00000002933.9	3477	2.70104916897312	2.71086010761728	1.2200196444132	7.17333719849676e-11	1.57639796192698e-09	TMEM176A	protein_coding
