ID,fileName,fileNamePE,experiment,condition,replicate,merge,pairedEnd,adapter,trimQuality,adapterPE,trimQualityPE
SRR15188539,,,SRP328925,p16_IMR90,1,None,TRUE,,,,
SRR15188540,,,SRP328925,p16_IMR90,2,None,TRUE,,,,
SRR15188541,,,SRP328925,p16_IMR90,3,None,TRUE,,,,
SRR15188542,,,SRP328925,Control_IMR90,1,None,TRUE,,,,
SRR15188543,,,SRP328925,Control_IMR90,2,None,TRUE,,,,
SRR15188544,,,SRP328925,Control_IMR90,3,None,TRUE,,,,
SRR15188545,,,SRP328925,Ras_keratinocyte,1,None,TRUE,,,,
SRR15188546,,,SRP328925,Ras_keratinocyte,2,None,TRUE,,,,
SRR15188547,,,SRP328925,Ras_keratinocyte,3,None,TRUE,,,,
SRR15188548,,,SRP328925,Ras_keratinocyte,4,None,TRUE,,,,
SRR15188549,,,SRP328925,Ras_keratinocyte,5,None,TRUE,,,,
SRR15188550,,,SRP328925,Ras_keratinocyte,6,None,TRUE,,,,
SRR15188551,,,SRP328925,Control_keratinocyte,1,None,TRUE,,,,
SRR15188552,,,SRP328925,Control_keratinocyte,2,None,TRUE,,,,
SRR15188553,,,SRP328925,Control_keratinocyte,3,None,TRUE,,,,
SRR15188554,,,SRP328925,Control_keratinocyte,4,None,TRUE,,,,
SRR15188555,,,SRP328925,Control_keratinocyte,5,None,TRUE,,,,
SRR15188556,,,SRP328925,Control_keratinocyte,6,None,TRUE,,,,
