"ensembl","symbol","entrez","organism","source","senescence_effect","LFC_Oncogene","LFC_Replicative","LFC_DNAdamage","adj_p_Oncogene","adj_p_Replicative","adj_p_DNAdamage","sig_types"
"ENSG00000000971","CFH","3075","Human","InnateDB/RNAseq","Unknown",-2.35091189541808,1.39716987965998,0.5246539698355,6.05205512780044e-05,0.00876295788255821,0.328772274762559,"Oncogene/Replicative"
"ENSG00000001461","NIPAL3","57185","Human","RNAseq","Unknown",-1.45277511190108,1.50320495162107,0.0401458253001682,2.4298461332757e-05,2.1296952181114e-05,0.9098945447719,"Oncogene/Replicative"
"ENSG00000003096","KLHL13","90293","Human","RNAseq","Unknown",-2.60548096451772,-0.0875339269343264,-0.770134032247926,3.80585933812055e-08,0.821462658057201,0.03133107271926,"Oncogene"
"ENSG00000003989","SLC7A2","6542","Human","RNAseq","Unknown",-1.39485988673974,0.133244875898137,-0.906213725365851,1.48261314928651e-05,0.669533211987627,0.00196499331901641,"Oncogene"
"ENSG00000004776","HSPB6","126393","Human","RNAseq","Unknown",-1.46414997874665,0.0774965174433934,-0.190790747525612,0.000889602206099189,0.884213351495361,0.65881406295874,"Oncogene"
"ENSG00000004777","ARHGAP33","115703","Human","RNAseq","Unknown",-1.5197534367055,-0.225367547576664,-1.37526036858147,4.41507249746421e-07,0.432807383572082,7.28122982662995e-07,"Oncogene/DNA-damage"
"ENSG00000005059","MCUB","55013","Human","RNAseq","Unknown",-1.67614029168896,-0.701126649653772,-1.45753101708886,2.66885473270589e-10,0.00047148591600044,3.03671742954231e-09,"Oncogene/DNA-damage"
"ENSG00000005187","ACSM3","6296","Human","RNAseq","Unknown",-1.37159996716541,0.583144655857825,-0.767720113882814,4.95953517493274e-05,0.0722312686745222,0.0120046824110097,"Oncogene"
"ENSG00000005189","REXO5","81691","Human","RNAseq","Unknown",-1.80392281437805,0.142848152815213,-1.31070334784284,9.41620458594703e-09,0.582537009934715,2.50147993913357e-06,"Oncogene/DNA-damage"
"ENSG00000005238","FAM214B","80256","Human","RNAseq","Unknown",1.11916444082036,0.298535314830744,1.11631749213899,6.92959898288183e-08,0.0965990312922661,6.76694959545692e-08,"Oncogene/DNA-damage"
"ENSG00000005249","PRKAR2B","5577","Human","RNAseq","Unknown",-1.04283471155386,-0.135598590917318,-0.391777076188627,5.10951721298658e-05,0.58284544598035,0.0860332645051945,"Oncogene"
"ENSG00000005486","RHBDD2","57414","Human","RNAseq","Unknown",1.1660411907163,-0.55632786683916,1.47139142244829,0.000157452669644086,0.0735574748073169,7.48816649437262e-06,"Oncogene/DNA-damage"
"ENSG00000006118","TMEM132A","54972","Human","RNAseq","Unknown",3.1333824422189,-2.0109826696878,2.41085841232821,7.72080067123238e-06,0.00178216474130276,0.000232539335804779,"Oncogene/Replicative/DNA-damage"
"ENSG00000006459","KDM7A","80853","Human","RNAseq","Unknown",1.65592979359048,-0.754613959117692,0.641555365468549,3.02473497004803e-07,0.00715588784601663,0.0145966682794212,"Oncogene"
"ENSG00000006468","ETV1","2115","Human","RNAseq","Unknown",1.02586007560701,-0.469032131600708,0.206130946405141,0.000964378578568217,0.12425819369781,0.5097310725701,"Oncogene"
"ENSG00000007384","RHBDF1","64285","Human","RNAseq","Unknown",1.35453494431259,-0.153425256663651,1.16785574281171,2.07947449827682e-07,0.532035021411783,2.30653061695592e-06,"Oncogene/DNA-damage"
"ENSG00000007968","E2F2","1870","Human","CSgene/RNAseq","Unknown",-4.03454193146169,-1.38625318447338,-2.29870078806524,7.64252336572475e-08,0.0103787349433414,1.017264338061e-05,"Oncogene/Replicative/DNA-damage"
