GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	gene_type
ENSG00000000003.15	1789.85413633703	-0.909823629832848	0.46463439023186	-1.95814956654162	0.0502124650161635	0.0844502682940532	TSPAN6	protein_coding
ENSG00000000419.13	1650.66389019057	0.290073264733611	0.33011108889405	0.878714088961459	0.379556317597315	0.469266919557889	DPM1	protein_coding
ENSG00000000457.14	481.287806497543	-0.489702148923608	0.321906991734809	-1.52125353439676	0.128196225784045	0.18939240675297	SCYL3	protein_coding
ENSG00000000460.17	409.79834123766	-1.08365122215385	0.333468593231294	-3.24963503055361	0.00115553204458107	0.00284760955397348	C1orf112	protein_coding
ENSG00000000971.16	2923.12834149303	-1.98136281767865	0.454767301350167	-4.35687177111491	1.3193450820755e-05	4.36485834017414e-05	CFH	protein_coding
ENSG00000001036.14	3745.99113300119	-0.113953980777965	0.408365148383151	-0.279049231378206	0.78020704353274	0.831100630349416	FUCA2	protein_coding
ENSG00000001084.13	2058.91539944553	0.117984384795219	0.339169079163005	0.347863033642038	0.727943048325743	0.788406761540074	GCLC	protein_coding
ENSG00000001167.14	1048.87547089753	0.0519006680463119	0.229237093380414	0.226406064049084	0.820885611947568	0.863686324737102	NFYA	protein_coding
ENSG00000001460.18	791.258588495388	0.927448248611343	0.30663118216316	3.02463774906572	0.00248931084997732	0.005735037092973	STPG1	protein_coding
ENSG00000001461.17	5519.43267443093	1.02939071537181	0.242028503592028	4.25317968790564	2.10756325426313e-05	6.78485263691388e-05	NIPAL3	protein_coding
ENSG00000001497.17	811.215124132753	-0.478136068415289	0.230871715371649	-2.07100323071452	0.0383584941417134	0.0666248748219831	LAS1L	protein_coding
ENSG00000001617.12	964.641838451231	0.356802579672555	0.319429975754344	1.11699779843753	0.263995266512693	0.34799200414084	SEMA3F	protein_coding
ENSG00000001626.16	109.082777420134	-0.260243130749534	0.817826220943921	-0.318213239053604	0.750323191008774	0.807277852680358	CFTR	protein_coding
ENSG00000001629.10	2565.68066048484	-0.557943498480474	0.315793091367473	-1.7668008380564	0.0772615883285439	0.122670626040295	ANKIB1	protein_coding
ENSG00000001630.17	5028.05922821526	-0.716129093263934	0.639355162783607	-1.12008025421437	0.26267956422849	0.346582939003708	CYP51A1	protein_coding
ENSG00000001631.16	1407.9040617603	0.0679410439938566	0.242185034627129	0.280533618018386	0.779068137032126	0.83035558081373	KRIT1	protein_coding
ENSG00000002016.18	381.908733042795	0.985171229506964	0.262235197052827	3.75682303740676	0.000172084093375282	0.000488778842488361	RAD52	protein_coding
ENSG00000002330.14	523.265038121312	1.12962263796974	0.385972928366927	2.92668877775765	0.00342591519625879	0.00766661633520236	BAD	protein_coding
ENSG00000002549.12	1908.93836642751	1.10510457874699	0.235853928813681	4.6855466190686	2.79213732656206e-06	1.00985150551423e-05	LAP3	protein_coding
ENSG00000002586.20	5374.42267406947	-0.550531459413486	0.259111805865775	-2.1246868994409	0.0336127473172468	0.0593642968603534	CD99	protein_coding
ENSG00000002586.20_PAR_Y	5372.96910695146	-0.551037772364006	0.259185728563995	-2.12603439015336	0.0335003961499331	0.0591789361364653	CD99	protein_coding
ENSG00000002745.13	6872.30756393041	4.78967847641904	0.29576981756105	16.1939393137382	5.56490141047825e-59	7.73112112129235e-57	WNT16	protein_coding
ENSG00000002822.15	674.979104750843	-0.881791289103575	0.253836134033134	-3.47386038028957	0.000513027911549763	0.00134571003204515	MAD1L1	protein_coding
ENSG00000002834.18	9890.72095907527	-1.15621615194745	0.304022781012537	-3.80305761330357	0.000142921100710162	0.000411638914149056	LASP1	protein_coding
