GeneID	GeneSymb	NumberOfEvidence	EvidenceDetail	NumberOfLiterature	Alias	Link	Cytoband	FullName	GeneType
7157	TP53	3	GOA,GeneRif,Reactome,	53	BCC7|LFS1|P53|TRP53	MIM:191170|HGNC:HGNC:11998|Ensembl:ENSG00000141510|HPRD:01859|Vega:OTTHUMG00000162125	17p13.1	tumor protein p53	protein-coding
7014	TERF2	3	GOA,GeneRif,Reactome,	3	TRBF2|TRF2	MIM:602027|HGNC:HGNC:11729|Ensembl:ENSG00000132604|HPRD:03610|Vega:OTTHUMG00000137566	16q22.1	telomeric repeat binding factor 2	protein-coding
1432	MAPK14	3	GOA,GeneRif,Reactome,	7	CSBP|CSBP1|CSBP2|CSPB1|EXIP|Mxi2|PRKM14|PRKM15|RK|SAPK2A|p38|p38ALPHA	MIM:600289|HGNC:HGNC:6876|Ensembl:ENSG00000112062|HPRD:02619|Vega:OTTHUMG00000159806	6p21.3-p21.2	mitogen-activated protein kinase 14	protein-coding
1029	CDKN2A	3	GOA,GeneRif,Reactome,	37	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16	MIM:600160|HGNC:HGNC:1787|Ensembl:ENSG00000147889|HPRD:02542|Vega:OTTHUMG00000019686	9p21	cyclin-dependent kinase inhibitor 2A	protein-coding
1026	CDKN1A	3	GOA,GeneRif,Reactome,	27	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	MIM:116899|HGNC:HGNC:1784|Ensembl:ENSG00000124762|HPRD:00298|Vega:OTTHUMG00000014603	6p21.2	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	protein-coding
898	CCNE1	2	GeneRif,Reactome,	1	CCNE	MIM:123837|HGNC:HGNC:1589|Ensembl:ENSG00000105173|HPRD:00455|Vega:OTTHUMG00000177626	19q12	cyclin E1	protein-coding
8900	CCNA1	2	GeneRif,Reactome,	1	CT146	MIM:604036|HGNC:HGNC:1577|Ensembl:ENSG00000133101|HPRD:04946|Vega:OTTHUMG00000016733	13q12.3-q13	cyclin A1	protein-coding
8550	MAPKAPK5	2	GOA,Reactome,		MAPKAP-K5|MK-5|MK5|PRAK	MIM:606723|HGNC:HGNC:6889|HPRD:09467	12q24.13	mitogen-activated protein kinase-activated protein kinase 5	protein-coding
8535	CBX4	2	GeneRif,Reactome,	1	NBP16|PC2	MIM:603079|HGNC:HGNC:1554|Ensembl:ENSG00000141582|HPRD:04357|Vega:OTTHUMG00000150415	17q25.3	chromobox homolog 4	protein-coding
7295	TXN	2	GeneRif,Reactome,	1	TRDX|TRX|TRX1	MIM:187700|HGNC:HGNC:12435|Ensembl:ENSG00000136810|HPRD:01761|Vega:OTTHUMG00000020480	9q31	thioredoxin	protein-coding
6909	TBX2	2	GOA,GeneRif,	1	-	MIM:600747|HGNC:HGNC:11597|Ensembl:ENSG00000121068|HPRD:02850|Vega:OTTHUMG00000156986	17q23.2	T-box 2	protein-coding
6774	STAT3	2	GeneRif,Reactome,	2	ADMIO|APRF|HIES	MIM:102582|HGNC:HGNC:11364|Ensembl:ENSG00000168610|HPRD:00026|Vega:OTTHUMG00000150645	17q21.31	signal transducer and activator of transcription 3 (acute-phase response factor)	protein-coding
6722	SRF	2	GOA,GeneRif,	1	MCM1	MIM:600589|HGNC:HGNC:11291|Ensembl:ENSG00000112658|HPRD:02788|Vega:OTTHUMG00000014722	6p21.1	serum response factor (c-fos serum response element-binding transcription factor)	protein-coding
648	BMI1	2	GeneRif,Reactome,	4	FLVI2/BMI1|PCGF4|RNF51	MIM:164831|HGNC:HGNC:1066|Ensembl:ENSG00000168283|HPRD:01277|Vega:OTTHUMG00000017807	10p11.23	BMI1 proto-oncogene, polycomb ring finger	protein-coding
6416	MAP2K4	2	GeneRif,Reactome,	1	JNKK|JNKK1|MAPKK4|MEK4|MKK4|PRKMK4|SAPKK-1|SAPKK1|SEK1|SERK1|SKK1	MIM:601335|HGNC:HGNC:6844|Ensembl:ENSG00000065559|HPRD:03213|Vega:OTTHUMG00000178267	17p12	mitogen-activated protein kinase kinase 4	protein-coding
5608	MAP2K6	2	GeneRif,Reactome,	1	MAPKK6|MEK6|MKK6|PRKMK6|SAPKK-3|SAPKK3	MIM:601254|HGNC:HGNC:6846|HPRD:03155	17q24.3	mitogen-activated protein kinase kinase 6	protein-coding
5606	MAP2K3	2	GeneRif,Reactome,	2	MAPKK3|MEK3|MKK3|PRKMK3|SAPKK-2|SAPKK2	MIM:602315|HGNC:HGNC:6843|Ensembl:ENSG00000034152|HPRD:03816|Vega:OTTHUMG00000134322	17q11.2	mitogen-activated protein kinase kinase 3	protein-coding
5599	MAPK8	2	GeneRif,Reactome,	2	JNK|JNK-46|JNK1|JNK1A2|JNK21B1/2|PRKM8|SAPK1|SAPK1c	MIM:601158|HGNC:HGNC:6881|Ensembl:ENSG00000107643|HPRD:03100|Vega:OTTHUMG00000018172	10q11.22	mitogen-activated protein kinase 8	protein-coding
5595	MAPK3	2	GeneRif,Reactome,	1	ERK-1|ERK1|ERT2|HS44KDAP|HUMKER1A|P44ERK1|P44MAPK|PRKM3|p44-ERK1|p44-MAPK	MIM:601795|HGNC:HGNC:6877|Ensembl:ENSG00000102882|HPRD:03479|Vega:OTTHUMG00000132149	16p11.2	mitogen-activated protein kinase 3	protein-coding
5594	MAPK1	2	GeneRif,Reactome,	3	ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK	MIM:176948|HGNC:HGNC:6871|Ensembl:ENSG00000100030|HPRD:01496|Vega:OTTHUMG00000030508	22q11.21	mitogen-activated protein kinase 1	protein-coding
5580	PRKCD	2	GOA,GeneRif,	1	ALPS3|CVID9|MAY1|PKCD|nPKC-delta	MIM:176977|HGNC:HGNC:9399|Ensembl:ENSG00000163932|HPRD:01501|Vega:OTTHUMG00000133659	3p21.31	protein kinase C, delta	protein-coding
5371	PML	2	GOA,GeneRif,	5	MYL|PP8675|RNF71|TRIM19	MIM:102578|HGNC:HGNC:9113|Ensembl:ENSG00000140464|HPRD:00023|Vega:OTTHUMG00000137607	15q22	promyelocytic leukemia	protein-coding
4976	OPA1	2	GOA,GeneRif,	1	MGM1|NPG|NTG|largeG	MIM:605290|HGNC:HGNC:8140|Ensembl:ENSG00000198836|HPRD:05596|Vega:OTTHUMG00000149897	3q29	optic atrophy 1 (autosomal dominant)	protein-coding
472	ATM	2	GeneRif,Reactome,	1	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	MIM:607585|HGNC:HGNC:795|Ensembl:ENSG00000149311|HPRD:06347|Vega:OTTHUMG00000166480	11q22-q23	ATM serine/threonine kinase	protein-coding
4193	MDM2	2	GeneRif,Reactome,	3	ACTFS|HDMX|hdm2	MIM:164785|HGNC:HGNC:6973|Ensembl:ENSG00000135679|HPRD:01272	12q14.3-q15	MDM2 proto-oncogene, E3 ubiquitin protein ligase	protein-coding
3576	CXCL8	2	GeneRif,Reactome,	1	GCP-1|GCP1|IL8|LECT|LUCT|LYNAP|MDNCF|MONAP|NAF|NAP-1|NAP1	MIM:146930|HGNC:HGNC:6025|Ensembl:ENSG00000169429|HPRD:00909|Vega:OTTHUMG00000151316	4q13-q21	chemokine (C-X-C motif) ligand 8	protein-coding
3569	IL6	2	GeneRif,Reactome,	2	BSF2|HGF|HSF|IFNB2|IL-6	MIM:147620|HGNC:HGNC:6018|Ensembl:ENSG00000136244|HPRD:00970|Vega:OTTHUMG00000023178	7p21	interleukin 6	protein-coding
3490	IGFBP7	2	GeneRif,Reactome,	2	AGM|FSTL2|IBP-7|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF|RAMSVPS|TAF	MIM:602867|HGNC:HGNC:5476|Ensembl:ENSG00000163453|HPRD:04183|Vega:OTTHUMG00000128772	4q12	insulin-like growth factor binding protein 7	protein-coding
3397	ID1	2	GeneRif,Reactome,	2	ID|bHLHb24	MIM:600349|HGNC:HGNC:5360|Ensembl:ENSG00000125968|HPRD:08980|Vega:OTTHUMG00000032181	20q11	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	protein-coding
3265	HRAS	2	GOA,GeneRif,	1	C-BAS/HAS|C-H-RAS|C-HA-RAS1|CTLO|H-RASIDX|HAMSV|HRAS1|RASH1|p21ras	MIM:190020|HGNC:HGNC:5173|Ensembl:ENSG00000174775|HPRD:01813|Vega:OTTHUMG00000131919	11p15.5	Harvey rat sarcoma viral oncogene homolog	protein-coding
3014	H2AFX	2	GeneRif,Reactome,	1	H2A.X|H2A/X|H2AX	MIM:601772|HGNC:HGNC:4739|Ensembl:ENSG00000188486|HPRD:03465|Vega:OTTHUMG00000166196	11q23.3	H2A histone family, member X	protein-coding
25913	POT1	2	GeneRif,Reactome,	1	CMM10|HPOT1	MIM:606478|HGNC:HGNC:17284|Ensembl:ENSG00000128513|HPRD:07572|Vega:OTTHUMG00000157194	7q31.33	protection of telomeres 1	protein-coding
23411	SIRT1	2	GOA,GeneRif,	13	SIR2|SIR2L1|hSIR2	MIM:604479|HGNC:HGNC:14929|Ensembl:ENSG00000096717|HPRD:08381|Vega:OTTHUMG00000018340	10q21.3	sirtuin 1	protein-coding
23135	KDM6B	2	GeneRif,Reactome,	1	JMJD3	MIM:611577|HGNC:HGNC:29012|Ensembl:ENSG00000132510|Vega:OTTHUMG00000178021	17p13.1	lysine (K)-specific demethylase 6B	protein-coding
22925	PLA2R1	2	GOA,GeneRif,	1	CLEC13C|PLA2-R|PLA2G1R|PLA2IR|PLA2R	MIM:604939|HGNC:HGNC:9042|Ensembl:ENSG00000153246|HPRD:09222|Vega:OTTHUMG00000154087	2q23-q24	phospholipase A2 receptor 1, 180kDa	protein-coding
2146	EZH2	2	GeneRif,Reactome,	4	ENX-1|ENX1|EZH1|EZH2b|KMT6|KMT6A|WVS|WVS2	MIM:601573|HGNC:HGNC:3527|Ensembl:ENSG00000106462|HPRD:03342|Vega:OTTHUMG00000158973	7q35-q36	enhancer of zeste 2 polycomb repressive complex 2 subunit	protein-coding
1871	E2F3	2	GeneRif,Reactome,	1	E2F-3	MIM:600427|HGNC:HGNC:3115|Ensembl:ENSG00000112242|HPRD:02693|Vega:OTTHUMG00000016389	6p22	E2F transcription factor 3	protein-coding
1869	E2F1	2	GeneRif,Reactome,	3	E2F-1|RBAP1|RBBP3|RBP3	MIM:189971|HGNC:HGNC:3113|Ensembl:ENSG00000101412|HPRD:01806|Vega:OTTHUMG00000032265	20q11.2	E2F transcription factor 1	protein-coding
1051	CEBPB	2	GeneRif,Reactome,	1	C/EBP-beta|IL6DBP|NF-IL6|TCF5	MIM:189965|HGNC:HGNC:1834|Ensembl:ENSG00000172216|HPRD:01801|Vega:OTTHUMG00000032715	20q13.1	CCAAT/enhancer binding protein (C/EBP), beta	protein-coding
1032	CDKN2D	2	GeneRif,Reactome,	1	INK4D|p19|p19-INK4D	MIM:600927|HGNC:HGNC:1790|Ensembl:ENSG00000129355|HPRD:02957|Vega:OTTHUMG00000180583	19p13	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	protein-coding
1030	CDKN2B	2	GeneRif,Reactome,	1	CDK4I|INK4B|MTS2|P15|TP15|p15INK4b	MIM:600431|HGNC:HGNC:1788|Ensembl:ENSG00000147883|HPRD:02696|Vega:OTTHUMG00000019691	9p21	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	protein-coding
1027	CDKN1B	2	GeneRif,Reactome,	2	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	MIM:600778|HGNC:HGNC:1785|Ensembl:ENSG00000111276|HPRD:02867|Vega:OTTHUMG00000149914	12p13.1-p12	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	protein-coding
1021	CDK6	2	GeneRif,Reactome,	1	MCPH12|PLSTIRE	MIM:603368|HGNC:HGNC:1777|Ensembl:ENSG00000105810|HPRD:04533|Vega:OTTHUMG00000131697	7q21-q22	cyclin-dependent kinase 6	protein-coding
