Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
IL2RB,"IL-2R Subunit Beta","Interleukin 2 Receptor Subunit Beta","Receptor for interleukin-2. This beta subunit is involved in receptor mediated endocytosis and transduces the mitogenic signals of IL2. Probably in association with IL15RA, involved in the stimulation of neutrophil phagocytosis by IL15.",others,"Homo sapiens","Defective CD8 Signaling Pathways Delay Rejection in Older Recipients",10.1097/TP.0000000000000886,hsa04060,"Cytokine-cytokine receptor interaction",3560
PSAT1,PSA,"Phosphoserine Aminotransferase 1","Catalyzes the reversible conversion of 3-phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4-phosphonooxybutanoate to phosphohydroxythreonine.",others,"Homo sapiens","Serine Metabolism Controls Dental Pulp Stem Cell Aging by Regulating the DNA Methylation of p16",10.1177/0022034520958374,"hsa00260 hsa00260","Glycine, serine and threonine metabolism",29968
A2M,"FWP007; S863-7; CPAMD5",alpha-2-macroglobulin,"Alpha-2-macroglobulin is a serum pan-protease inhibitor that has been implicated in Alzheimer disease (AD) based on its ability to mediate the clearance and degradation of A beta, the major component of beta-amyloid deposits.",others,"Homo sapiens","Alpha-2 Macroglobulin Is Genetically Associated With Alzheimer Disease",10.1038/1243,unknown,Unknown,2
AARS1,AlaRS,"Alanyl-TRNA Synthetase 1","Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala) (PubMed:27622773, PubMed:27911835, PubMed:28493438). Also edits incorrectly charged tRNA(Ala) via its editing domain.","loss of proteostasis","Homo sapiens","Altered Sensory Neuron Development in CMT2D Mice Is Site-Specific and Linked to Increased GlyRS Levels",10.3389/fncel.2020.00232,hsa00970,"Aminoacyl-tRNA biosynthesis",16
ABL1,"JTK7; c-ABL","ABL proto-oncogene 1, non-receptor tyrosine kinase","c-Abl stimulates p73-mediated transactivation and apoptosis. This regulation of p73 by c-Abl in response to DNA damage is also demonstrated by a failure of ionizing-radiation-induced apoptosis after disruption of the c-Abl-p73 interaction.","genomic instability","Homo sapiens","p73 Is Regulated by Tyrosine Kinase c-Abl in the Apoptotic Response to DNA Damage",10.1038/21704,hsa04110,"Cell cycle",25
ADCY1,"ATP Pyrophosphate-Lyase 1","Adenylate cyclase type 1","Catalyzes the formation of the signaling molecule cAMP in response to G-protein signaling. Mediates responses to increased cellular Ca2+/calmodulin levels. May be involved in regulatory processes in the central nervous system. May play a role in memory and learning. Plays a role in the regulation of the circadian rhythm of daytime contrast sensitivity probably by modulating the rhythmic synthesis of cyclic AMP in the retina.","altered intercellular communication","Homo sapiens","Expression and regulation of adenylyl cyclase isoforms in the human adrenal gland",10.1210/jcem.86.9.7837,hsa04211,"Longevity regulating pathway",107
ADCY2,"ATP Pyrophosphate-Lyase 2","Adenylate cyclase type 2","Catalyzes the formation of the signaling molecule cAMP in response to G-protein signaling. Down-stream signaling cascades mediate changes in gene expression patterns and lead to increased IL6 production. Functions in signaling cascades downstream of the muscarinic acetylcholine receptors.","altered intercellular communication","Homo sapiens","Expression and regulation of adenylyl cyclase isoforms in the human adrenal gland",10.1210/jcem.86.9.7837,hsa04211,"Longevity regulating pathway",108
ADCY3,"ATP Pyrophosphate-Lyase 3","Adenylate cyclase type 3","Catalyzes the formation of the signaling molecule cAMP in response to G-protein signaling. Participates in signaling cascades triggered by odorant receptors via its function in cAMP biosynthesis. Required for the perception of odorants. Required for normal sperm motility and normal male fertility. Plays a role in regulating insulin levels and body fat accumulation in response to a high fat diet.","altered intercellular communication","Homo sapiens","Expression and regulation of adenylyl cyclase isoforms in the human adrenal gland",10.1210/jcem.86.9.7837,hsa04211,"Longevity regulating pathway",109
ADCY4,"ATP Pyrophosphate-Lyase 4","Adenylate cyclase type 4","Catalyzes the formation of the signaling molecule cAMP in response to G-protein signaling.","altered intercellular communication","Homo sapiens","Characterization of the human adenylyl cyclase gene family: cDNA, gene structure, and tissue distribution of the nine isoforms",10.1081/rrs-120014589,hsa04211,"Longevity regulating pathway",196883
ADCY5,"ATP Pyrophosphate-Lyase 5","adenylate cyclase 5","Catalyzes the formation of the signaling molecule cAMP in response to G-protein signaling. Mediates signaling downstream of ADRB1. Regulates the increase of free cytosolic Ca2+?in response to increased blood glucose levels and contributes to the regulation of Ca2+-dependent insulin secretion.","altered intercellular communication","Homo sapiens","Adenylyl Cyclase 5 Regulation by Gβγ Involves Isoform-Specific Use of Multiple Interaction Sites",10.1124/mol.115.099556,hsa04211,"Longevity regulating pathway",111
ADCY6,"ATP Pyrophosphate-Lyase 6","Adenylate cyclase type 6","Catalyzes the formation of the signaling molecule cAMP downstream of G protein-coupled receptors. Functions in signaling cascades downstream of beta-adrenergic receptors in the heart and in vascular smooth muscle cells. Functions in signaling cascades downstream of the vasopressin receptor in the kidney and has a role in renal water reabsorption. Functions in signaling cascades downstream of PTH1R and plays a role in regulating renal phosphate excretion. Functions in signaling cascades downstream of the VIP and SCT receptors in pancreas and contributes to the regulation of pancreatic amylase and fluid secretion. Signaling mediates cAMP-dependent activation of protein kinase PKA. This promotes increased phosphorylation of various proteins, including AKT. Plays a role in regulating cardiac sarcoplasmic reticulum Ca2+ uptake and storage, and is required for normal heart ventricular contractibility.","altered intercellular communication","Homo sapiens","Increased enzyme activity and beta-adrenergic mediated vasodilation in subjects expressing a single-nucleotide variant of human adenylyl cyclase 6",10.1161/ATVBAHA.107.145557,hsa04211,"Longevity regulating pathway",112
ADCY7,"ATP Pyrophosphate-Lyase 7","Adenylate cyclase type 7","Catalyzes the formation of cAMP in response to activation of G protein-coupled receptors. Functions in signaling cascades activated namely by thrombin and sphingosine 1-phosphate and mediates regulation of cAMP synthesis through synergistic action of the stimulatory G alpha protein with GNA13. Also, during inflammation, mediates zymosan-induced increase intracellular cAMP, leading to protein kinase A pathway activation in order to modulate innate immune responses through heterotrimeric G proteins G(12/13). Functions in signaling cascades activated namely by dopamine and C5 alpha chain and mediates regulation of cAMP synthesis through synergistic action of the stimulatory G protein with G beta:gamma complex.","altered intercellular communication","Homo sapiens","Regulation of cAMP responses by the G12/13 pathway converges on adenylyl cyclase VII",10.1074/jbc.M803281200,hsa04211,"Longevity regulating pathway",113
ADCY8,"ATP Pyrophosphate-Lyase 8","Adenylate cyclase type 8","Catalyzes the formation of cAMP in response to calcium entry leadings to cAMP signaling activation that affect processes suche as synaptic plasticity and insulin secretion. Plays a role in many brain functions, such as learning, memory, drug addiction, and anxiety modulation through regulation of synaptic plasticity by modulating long-term memory and long-term potentiation (LTP) through CREB transcription factor activity modulation. Plays a central role in insulin secretion by controlling glucose homeostasis through glucagon-like peptide 1 and glucose signaling pathway and maintains insulin secretion through calcium-dependent PKA activation leading to vesicle pool replenishment. Also, allows PTGER3 to induce potentiation of PTGER4-mediated PLA2 secretion by switching from a negative to a positive regulation, during the IL1B induced-dedifferentiation of smooth muscle cells.","altered intercellular communication","Homo sapiens","Molecular cloning of the human type VIII adenylyl cyclase",10.1016/0014-5793(94)00836-1,hsa04211,"Longevity regulating pathway",114
ADCY9,"ATP Pyrophosphate-Lyase 9","Adenylate cyclase type 9","Adenylyl cyclase that catalyzes the formation of the signaling molecule cAMP in response to activation of G protein-coupled receptors. Contributes to signaling cascades activated by CRH (corticotropin-releasing factor), corticosteroids and beta-adrenergic receptors.","altered intercellular communication","Homo sapiens","Cloning, chromosomal mapping, and regulatory properties of the human type 9 adenylyl cyclase (ADCY9)",10.1006/geno.1998.5293,hsa04211,"Longevity regulating pathway",115
ADH1B,"ADH2; HEL-S-117","alcohol dehydrogenase 1B (class I), beta polypeptide","Catalyzes the NAD-dependent oxidation of all-trans-retinol and its derivatives such as all-trans-4-hydroxyretinol and may participate in retinoid metabolism. In vitro can also catalyzes the NADH-dependent reduction of all-trans-retinal and its derivatives such as all-trans-4-oxoretinal.","genomic instability","Homo sapiens","Shortened telomeres in individuals with abuse in alcohol consumption",10.1002/ijc.25999,unknown,Unknown,125
